Jugador,market_value_pred
Anthony Jung,6097468.669643065
David Mokwa,-6380453.2945751995
Lars Ritzka,3403922.4822203154
Anthony Jung,26752560.065587208
Anthony Jung,22227466.890405208
Lars Ritzka,8859018.24026205
Lars Ritzka,-1140112.730083609
Anthony Jung,15855972.967204778
Anthony Jung,1295636.0697458144
Anthony Jung,12439193.505090503
Lars Ritzka,-2790517.3298771866
Lars Ritzka,15709350.79996096
Anthony Jung,12269298.705947783
Lars Ritzka,14438984.918996425
Anthony Jung,-2564143.2276449874
Almugera Kabar,7671030.374352019
Lars Ritzka,7338114.926225297
Lars Ritzka,3314555.975840428
Anthony Jung,13495663.811495796
Anthony Jung,20960010.27064827
Lars Ritzka,-314848.473607732
Lars Ritzka,2642166.104440011
Anthony Jung,-487889.32880337164
Anthony Jung,8215520.148743473
David Mokwa,12727340.548575137
Anthony Jung,6285306.8878820455
Lars Ritzka,11144011.29355011
Anthony Jung,17580396.955305774
Lars Ritzka,6064462.825654134
Lars Ritzka,422649.7620987147
Anthony Jung,2533470.497880541
Lars Ritzka,2474858.966225381
Lars Ritzka,12724875.881289864
Anthony Jung,3424383.908036353
Anthony Jung,12561053.421642955
Anthony Jung,5523896.012791418
Lars Ritzka,9904937.984199401
Almugera Kabar,17863838.236719303
Almugera Kabar,4833073.733491473
Anthony Jung,248714.8041461408
Lars Ritzka,9735596.73740339
Almugera Kabar,4788823.3792134775
Anthony Jung,14419087.485098505
Anthony Jung,12786412.017632775
Ihlas Bebou,-599678.2323982529
Lars Ritzka,3111167.4629241144
Almugera Kabar,23538880.670041993
Anthony Jung,10026785.310842333
Lars Ritzka,21461517.603582636
Anthony Jung,30150006.55809405
Anthony Jung,35004943.56076795
Lars Ritzka,-1372538.7734862603
Anthony Jung,15000607.984150775
Lars Ritzka,2709733.1059147455
Anthony Jung,14793058.949340869
Anthony Jung,21711951.76051438
Anthony Jung,50086623.62029076
Silvan Widmer,-11324559.888963327
Mikkel Kaufmann,-561310.872142978
Silvan Widmer,3309952.5404914664
Marnon Busch,2417518.370064973
Florian Muller,19209794.69123468
